,觀測時間,溫度(°C),天氣,風向,風力 (m/s),陣風 (m/s),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
108,2024-05-06 23:10:00,25.277,多雲,東,1.82,--,16-20,84,1013.2,0.0,8.6
109,2024-05-06 23:00:00,25.478,多雲,東北東,1.51,3.73,16-20,84,1013.2,0.0,8.6
110,2024-05-06 22:50:00,25.778,多雲,東北,1.21,--,16-20,84,1013.3,0.0,8.6
111,2024-05-06 22:40:00,25.878,多雲,東北東,1.51,--,16-20,83,1013.3,0.0,8.6
112,2024-05-06 22:30:00,25.878,多雲,東,1.62,--,11-15,84,1013.4,0.0,8.6
113,2024-05-06 22:20:00,25.878,多雲,東北東,1.82,--,11-15,84,1013.4,0.0,8.6
114,2024-05-06 22:10:00,25.979,多雲,東北東,1.41,--,11-15,84,1013.5,0.0,8.6
115,2024-05-06 22:00:00,26.079,多雲,東北東,0.81,2.62,11-15,84,1013.4,0.0,8.6
116,2024-05-06 21:50:00,26.279,多雲,東,1.01,--,11-15,84,1013.4,0.0,8.6
117,2024-05-06 21:40:00,26.379,多雲,東,0.61,--,11-15,83,1013.3,0.0,8.6
118,2024-05-06 21:30:00,26.279,多雲,東,0.91,--,11-15,83,1013.3,0.0,8.6
119,2024-05-06 21:20:00,26.379,多雲,東,1.01,--,11-15,82,1013.3,0.0,8.6
120,2024-05-06 21:10:00,26.480,多雲,東,0.91,--,11-15,81,1013.2,0.0,8.6
121,2024-05-06 21:00:00,26.580,陰,東北東,1.01,3.12,16-20,79,1013.1,0.0,8.6
122,2024-05-06 20:50:00,26.680,陰,東北東,1.31,--,21-30,78,1013.0,0.0,8.6
123,2024-05-06 20:40:00,26.780,陰,東北,1.01,--,21-30,78,1013.0,0.0,8.6
124,2024-05-06 20:30:00,26.780,陰,東北東,1.41,--,21-30,78,1013.0,0.0,8.6
125,2024-05-06 20:20:00,27.081,陰,東北東,0.51,--,21-30,77,1012.8,0.0,8.6
126,2024-05-06 20:10:00,26.980,陰,東北,1.21,--,16-20,77,1012.7,0.0,8.6
127,2024-05-06 20:00:00,26.980,陰,北北東,1.21,4.03,16-20,79,1012.5,0.0,8.6
128,2024-05-06 19:50:00,27.081,陰,東,1.51,--,16-20,79,1012.4,0.0,8.6
129,2024-05-06 19:40:00,27.181,陰,東,1.51,--,16-20,79,1012.3,0.0,8.6
130,2024-05-06 19:30:00,27.381,陰,東,1.41,--,16-20,78,1012.1,0.0,8.6
131,2024-05-06 19:20:00,27.381,陰,東,1.31,--,16-20,78,1012.0,0.0,8.6
132,2024-05-06 19:10:00,27.481,陰,東,1.31,--,16-20,79,1011.9,0.0,8.6
133,2024-05-06 19:00:00,27.381,陰,東,1.11,3.73,16-20,80,1011.9,0.0,8.6
134,2024-05-06 18:50:00,27.481,陰,東,1.11,--,11-15,80,1011.8,0.0,8.6
135,2024-05-06 18:40:00,27.481,陰,東北,1.51,--,11-15,80,1011.8,0.0,8.6
136,2024-05-06 18:30:00,27.582,陰,北北東,1.51,--,11-15,80,1011.7,0.0,8.6
137,2024-05-06 18:20:00,27.782,陰,東北東,1.62,--,11-15,78,1011.8,0.0,8.6
138,2024-05-06 18:10:00,27.782,陰,北北東,1.92,--,16-20,78,1011.7,0.0,8.6
139,2024-05-06 18:00:00,27.982,陰,北北東,1.72,3.93,16-20,78,1011.6,0.0,8.6
140,2024-05-06 17:50:00,28.183,陰,北北東,1.82,--,16-20,77,1011.6,0.0,8.6
141,2024-05-06 17:40:00,28.183,陰,北北東,1.31,--,16-20,77,1011.4,0.0,8.6
142,2024-05-06 17:30:00,28.183,陰,北,1.72,--,16-20,76,1011.3,0.0,8.6
143,2024-05-06 17:20:00,28.283,陰,北北西,1.72,--,16-20,77,1011.3,0.0,8.6
144,2024-05-06 17:10:00,28.683,陰,北北西,1.62,--,>30,73,1011.2,0.0,8.4
145,2024-05-06 17:00:00,28.784,多雲,北北西,1.11,--,21-30,69,1011.2,0.0,8.3
146,2024-05-06 16:50:00,28.984,陰,西北,1.01,--,>30,70,1011.1,0.0,8.1
147,2024-05-06 16:40:00,28.683,陰,北北西,0.71,--,>30,70,1011.0,0.0,8.0
148,2024-05-06 16:30:00,28.884,陰,西北,1.01,--,>30,70,1011.0,0.0,7.9
149,2024-05-06 16:20:00,29.184,陰,北北西,1.01,--,>30,70,1010.9,0.0,7.8
